page,image_index_on_page,filename,caption,category_subfolder,output_path,image_hash,image_size_bytes,has_hood
12,2,M100330126_SHE1CJ_Custom_Logo_Navy_Jacket.png,M100330126 SHE1CJ Custom Logo Navy Jacket,jacket,jacket\M100330126_SHE1CJ_Custom_Logo_Navy_Jacket.png,1ae99f6301288fd6956642ce469ffe49,33091,False
12,3,M103273278_SHE1CJ_Custom_WV_Navy_Fleece_FZ.png,M103273278 SHE1CJ Custom WV Navy Fleece FZ,jacket,jacket\M103273278_SHE1CJ_Custom_WV_Navy_Fleece_FZ.png,476c446ede33eee0bb4d8528e88fe175,24323,False
12,4,M103955044_SH2BWF_Custom_Side_Leg_DTF_Flannels.png,M103955044 SH2BWF Custom Side Leg DTF Flannels,flannels,flannels\M103955044_SH2BWF_Custom_Side_Leg_DTF_Flannels.png,671a0ae08b8aaa2f1e8cc3c389483ce5,42830,False
13,1,M89677268_SHPHFD_Custom_WV_DTF_Flannels.png,M89677268 SHPHFD Custom WV DTF Flannels,flannels,flannels\M89677268_SHPHFD_Custom_WV_DTF_Flannels.png,97a6d33236d517f077c85f75a7b178e7,37776,False
13,2,M101781446_SHPHDC_Custom_WV_DTF_Navy_Pants.png,M101781446 SHPHDC Custom WV DTF Navy Pants,pants,pants\M101781446_SHPHDC_Custom_WV_DTF_Navy_Pants.png,8fccb2118d05d6d354a119e5ac945ecd,16854,False
13,3,M100997846_SH2DPC_Custom_DTF_Navy_Pants.png,M100997846 SH2DPC Custom DTF Navy Pants,pants,pants\M100997846_SH2DPC_Custom_DTF_Navy_Pants.png,5a9b7d7d940b776aa4cbdd1f534d6f66,24433,False
13,4,M101415110_SHPHDS_Flying_WV_Hip_DTF_Gray_Pants.png,M101415110 SHPHDS Flying WV Hip DTF Gray Pants,pants,pants\M101415110_SHPHDS_Flying_WV_Hip_DTF_Gray_Pants.png,a2d7e5953e92efb839db7a62cea91e37,25936,False
14,1,M100998197_SH2DPS_Custom_WV_Joggers.png,M100998197 SH2DPS Custom WV Joggers,pants,pants\M100998197_SH2DPS_Custom_WV_Joggers.png,936945e1a1d8abb9c4d1d2aa8878fae3,27876,False
14,2,M89677170_SHPHDS_Custom_WV_DTF_Steel_Joggers.png,M89677170 SHPHDS Custom WV DTF Steel Joggers,pants,pants\M89677170_SHPHDS_Custom_WV_DTF_Steel_Joggers.png,c6d9268a8f71d08cfead50e0d5f0da49,25362,False
14,3,M101421643_SHPHDS_Custom_WVU_DTF_Gray_Pants.png,M101421643 SHPHDS Custom WVU DTF Gray Pants,pants,pants\M101421643_SHPHDS_Custom_WVU_DTF_Gray_Pants.png,6d40a90174a4f30f93fa6e075e4bde8c,26562,False
14,4,M205741992_SDSCSC_Score_DTF_Navy_Shorts.png,M205741992 SDSCSC Score DTF Navy Shorts,shorts,shorts\M205741992_SDSCSC_Score_DTF_Navy_Shorts.png,3553dd56c9182455b54410da1ef1c8c8,26007,False
